treebank	WALS_code	ttr	ttr_sd	msp	msp_sd	ws	ws_sd	wh	wh_sd	lh	lh_sd	is	is_sd	mfh	mfh_sd	-ia	-ia_sd
Hungarian-Szeged	hun	0.348783	0.004860597803	1.391733545	0.004667974766	0.5965972903	0.007500796436	10.77446023	0.02264205279	10.17339126	0.02637111889	8	0	3.72509046	0.6553107254	-0.3979728231	0
Indonesian-GSD	ind	0.302711	0.003485122523	1.038599384	0.001842578583	0.3359898069	0.005788804623	10.75660006	0.02742603645	10.68784507	0.02990780641	6.7	0.4582575695	2.711112641	0.3036415377	-0.8030036024	0
Italian-ISDT	ita	0.2776725	0.003264830585	1.296669494	0.004138950619	0.4702834246	0.008245781023	9.545266032	0.02314147027	8.688587619	0.02604670762	6	0	3.417797697	0.326029355	-0.532026038	0
Italian-ParTUT	ita	0.210625	0.003043825718	1.367476465	0.005030615121	0.558375002	0.009524164724	9.258667534	0.02911655998	8.379059374	0.02778307892	6	0	3.385939444	0.3434450751	-0.557045069	0
Italian-PoSTWITA	ita	0.242925	0.002852345526	1.250005415	0.004186956028	0.474197395	0.007914407384	9.488195773	0.02561251445	8.791265765	0.02617848725	6	0	3.672523893	0.2515139953	-0.5480120839	0
Japanese-GSD	jpn	0.2827255	0.00323656836	1.043163617	0.002361720004	0.3218547644	0.008011033919	9.533716339	0.02308107841	9.313048038	0.02684178501	0	0	1.342381297	1.342407073	-0.9159938381	0
Korean-GSD	kor	0.5748145	0.006934937977	0.9988688284	0.0005124792732	0.2304155191	0.003302131087	12.84469705	0.02425500317	12.84664401	0.02291408396	0	0	1.029514633	1.029558048	-0.8102653552	0
Korean-Kaist	kor	0.586663	0.004141289775	0.9927783836	0.0008363825581	0.2150387049	0.002762815212	12.6768538	0.02174184199	12.69528831	0.02105415884	0	0	1.408016223	1.408034451	-0.7962783142	0
Latin-ITTB	lat	0.1873215	0.002457470803	2.315879182	0.005319440727	0.6162517874	0.008211496207	9.47054309	0.03142790443	8.150905073	0.0235767674	11	0	3.739748196	0.6184940929	-0.1420102737	0
Latin-PROIEL	lat	0.3192835	0.00329072982	2.064464805	0.004988952364	0.4774999521	0.005871917713	10.57169929	0.029908724	9.108281639	0.02752012669	9	0	3.88563676	0.672245667	-0.1660372948	0
Latvian-LVTB	lat	0.4246	0.00399842469	1.617509392	0.004886870629	0.4807130024	0.005998168111	11.52298086	0.02507747793	10.4949134	0.02590679865	14.44	0.4963869458	3.88011482	0.7566462183	-0.2300054546	0
Norwegian-Bokmaal	nor	0.2894395	0.003443706542	1.264094289	0.003832664814	0.3978922639	0.006905991752	9.989206074	0.02736164523	9.504030383	0.02710491179	4.75	0.4330127019	3.821988543	0.4517289568	-0.4690408972	0
Norwegian-Nynorsk	nbo	0.2813885	0.003200428526	1.251307434	0.004134330719	0.3947275866	0.00765079471	9.910844405	0.02430114503	9.42486974	0.02718379588	4.65	1.283549765	3.778496125	0.4389512959	-0.4490178802	0
Old_Church_Slavonic-PROIEL	chu	0.229126	0.002997127625	2.519819888	0.005514556838	0.4619191008	0.007612122746	9.831954588	0.02477843286	7.99346704	0.03034821324	10	0	3.841775756	0.712437698	-0.1980843119	0
Persian-Seraji	prs	0.210736	0.002778867395	1.311090238	0.004401099533	0.1994997201	0.006480280061	9.746808365	0.02362500419	9.154790257	0.0284485492	6	0	2.883288676	0.02123794786	-0.6910323497	0
Polish-LFG	pol	0.406428	0.003446246654	1.489737997	0.003323024736	0.4431986011	0.004938573939	11.11665697	0.02532843505	10.16619911	0.0238296687	11	0	4.02525238	0.8262339577	-0.2800105495	0
Polish-SZ	pol	0.4164245	0.003672005549	1.451440961	0.003797526791	0.4916619945	0.005730530171	11.32416699	0.02282287846	10.44133204	0.02160914229	9	0	3.932180037	0.8265880423	-0.2950015884	0
Portuguese-Bosque	por	0.286788	0.003077638055	1.269971018	0.00444164928	0.4226377998	0.008080790616	9.307546317	0.02991613103	8.717849644	0.02465421328	7	0	3.346369016	0.2441854357	-0.512995031	0
Romanian-Nonstandard	rom	0.2009555	0.003048761183	2.044370605	0.005473328187	0.3783978987	0.006995719683	9.515467188	0.02391749281	8.08870391	0.03003027137	9	0	3.960354712	0.6946804815	-0.2600204995	0
Romanian-RRT	rom	0.3508235	0.004224798545	1.506974658	0.004572677816	0.4619765268	0.007716684426	10.48334352	0.02613197403	9.661234367	0.0274844189	7.1	0.3	3.807161556	0.6458754759	-0.3460016903	0
Russian-GSD	rus	0.4623885	0.005110248795	1.40212312	0.00392869433	0.4802146161	0.006463634259	11.654892	0.02890629348	10.95346998	0.02629018462	12	0	3.448319792	0.5517591241	-0.3310076544	0
Russian-SynTagRus	rus	0.462628	0.004152699845	1.554352786	0.004210955338	0.4944858947	0.005999119847	11.50371513	0.02630489674	10.63195318	0.02355567252	11	0	3.746666055	0.6157091608	-0.2420234606	0
Serbian-SET	scr	0.3216595	0.004336575233	1.645863264	0.00473974277	0.5431912852	0.007307250587	10.63834715	0.02426853526	9.676643369	0.02710750441	5.71	0.4537620522	3.531516669	0.4117283832	-0.2669465873	0
Slovak-SNK	svk	0.411039	0.004109322207	1.489446916	0.003475563111	0.4011295319	0.005610317843	11.2812817	0.02421293818	10.38410295	0.02786511911	10	0	3.981664793	0.7219756686	-0.3040405675	0
Slovenian-SSJ	slo	0.397861	0.004112527082	1.489263086	0.004066053056	0.4468196569	0.006160322378	10.91581693	0.02351622518	9.921261355	0.0265127176	8	0	3.938216931	0.625168676	-0.2840205475	0
Spanish-AnCora	spa	0.291052	0.003179810686	1.280557868	0.005032352034	0.4255828251	0.007869454804	9.610795	0.02503121555	8.971770087	0.02396648412	6	0	3.557593781	0.3726497458	-0.495006983	0
Spanish-GSD	spa	0.303393	0.003723600542	1.220002825	0.00437185624	0.4011792545	0.006820235483	9.519197069	0.02769380064	8.883089968	0.02824764282	6	0	3.48954812	0.3723894156	-0.53402804	0
Swedish-LinES	swe	0.249998	0.003271237686	1.294870731	0.004076110679	0.3997256409	0.006100011212	9.832712644	0.02433336148	9.286210348	0.02615424629	7.07	1.784684846	3.693160678	0.3397972363	-0.4640448832	0
Swedish-Talbanken	swe	0.2670085	0.003300780627	1.34947012	0.004182801499	0.5267995851	0.006766034836	10.04352105	0.0235710668	9.410470437	0.02847377263	8.81	0.4170131892	3.627753795	0.4053926951	-0.4400058741	0
Turkish-IMST	tur	0.3973865	0.004091740797	2.277891192	0.004205815956	0.5703778328	0.006529268287	11.72238627	0.0211867727	10.01303703	0.02646104679	13	0	3.585127389	0.7244514072	-0.2250154346	0
Ukrainian-IU	ukr	0.4429405	0.004876513586	1.420014293	0.003918646676	0.4403247859	0.005846970769	11.53110833	0.02546923404	10.81092475	0.02691999664	8.89	0.3128897569	3.857030963	0.714238679	-0.3189926453	0
Urdu-UDTB	urd	0.199242	0.002937649741	1.131727884	0.004446304484	0.1614606887	0.006737467388	9.652893288	0.02603714661	9.117100626	0.02516716346	10.21	0.4073082371	3.329645145	0.2545969317	-0.7370094646	0
Uyghur-UDT	uyg	0.2161355	0.002125115232	1.888052815	0.003646215992	0.5196785931	0.006364319284	10.61753551	0.01841483038	9.39449711	0.01870926493	12	0	3.382143065	0.8478510468	-0.3709937482	0
Vietnamese-VTB	vie	0.1668725	0.001948234778	1	0	0.3713262688	0.007147892076	9.960514286	0.0220758692	9.960263782	0.02412185997	0	0	1.250803848	1.227632355	-1	0
